test,num_obes
random--la17,1
random--la109,1
random--la1018,0
random--la216,1
random--la219,1
random--la222,0
random--la310,0
random--la323,0
random--la46,1
random--la49,1
random--la53,1
random--la520,0
random--la66,1
random--la610,1
random--la616,0
random--la625,0
random--la626,0
random--la79,1
random--la711,0
random--la719,1
random--la811,1
random--la814,1
random--la816,1
random--la819,0
random--la821,0
random--la822,0
random--la912,0
random--la914,1
random--la918,0
random--la921,0
