test,num_obes
one-plus-o23,0
one-plus-o211,0
one-plus-o212,0
one-plus-o213,0
one-plus-o216,0
one-plus-o220,0
one-plus-o222,0
one-plus-o223,0
one-plus-o225,0
one-plus-o226,0
one-plus-o227,0
one-plus-o228,0
one-plus-o243,0
one-plus-o356,0
random--la102,0
random--la1020,0
random--la1024,1
random--la26,0
random--la218,0
random--la223,0
random--la47,0
random--la412,0
random--la431,0
random--la526,0
random--la66,1
random--la631,0
random--la638,0
random--la76,0
random--la86,0
random--la87,0
