road,one-plus-o23,one-plus-o211,one-plus-o212,one-plus-o213,one-plus-o216,one-plus-o220,one-plus-o222,one-plus-o223,one-plus-o225,one-plus-o226,one-plus-o227,one-plus-o228,one-plus-o243,one-plus-o356,random--la102,random--la1020,random--la1024,random--la26,random--la218,random--la223,random--la47,random--la412,random--la431,random--la526,random--la66,random--la631,random--la638,random--la76,random--la86,random--la87
one-plus-o23,1.0,0.8666666666666667,0.8736842105263158,0.8541666666666666,0.9649122807017544,0.8592592592592593,0.8962962962962964,0.8518518518518519,0.8962962962962964,0.8555555555555555,0.8962962962962964,0.8777777777777778,0.8300653594771241,0.9185185185185185,0.8244444444444444,0.8522875816993464,0.8691358024691358,0.8081871345029239,0.8175438596491228,0.8814814814814815,0.8240740740740741,0.8158730158730159,0.8096618357487922,0.8393162393162393,0.8009661835748791,0.8477777777777777,0.8380952380952381,0.8281481481481482,0.8481481481481482,0.7909090909090909
one-plus-o211,0.8666666666666667,1.0,0.8980392156862745,0.8625,0.8745098039215686,0.9019607843137255,0.8588235294117648,0.8392156862745097,0.8588235294117648,0.8235294117647058,0.8588235294117648,0.8392156862745098,0.8104575163398693,0.8740740740740741,0.8601307189542484,0.8405228758169935,0.8418300653594771,0.8601307189542484,0.8352941176470587,0.8481481481481482,0.8574074074074074,0.8063492063492064,0.8366013071895425,0.8444444444444444,0.8483660130718954,0.8183006535947712,0.819047619047619,0.8148148148148148,0.807843137254902,0.7973856209150327
one-plus-o212,0.8736842105263158,0.8980392156862745,1.0,0.9666666666666667,0.8491228070175438,0.9148148148148149,0.8481481481481481,0.8703703703703703,0.8481481481481481,0.8491228070175438,0.8481481481481481,0.8666666666666667,0.8496732026143791,0.8888888888888888,0.8257309941520468,0.8718954248366013,0.8469135802469135,0.815204678362573,0.8035087719298246,0.8481481481481482,0.8351851851851853,0.8444444444444444,0.8257309941520468,0.829059829059829,0.8362573099415205,0.839766081871345,0.8333333333333334,0.8148148148148148,0.8185185185185185,0.8046783625730994
one-plus-o213,0.8541666666666666,0.8625,0.9666666666666667,1.0,0.8625,0.975,0.9,0.8291666666666666,0.9,0.8458333333333333,0.9,0.9,0.8027777777777778,0.8888888888888888,0.8347222222222223,0.888888888888889,0.8444444444444444,0.8013888888888888,0.8208333333333333,0.8648148148148148,0.8407407407407408,0.8396825396825397,0.8305555555555555,0.8905982905982907,0.8347222222222223,0.8472222222222222,0.8142857142857143,0.8281481481481482,0.8208333333333333,0.8083333333333333
one-plus-o216,0.9649122807017544,0.8745098039215686,0.8491228070175438,0.8625,1.0,0.837037037037037,0.8666666666666667,0.8814814814814815,0.8666666666666667,0.8842105263157894,0.8666666666666667,0.8481481481481481,0.7908496732026145,0.8666666666666667,0.8257309941520468,0.8640522875816994,0.828395061728395,0.8467836257309942,0.8070175438596491,0.8203703703703704,0.8629629629629629,0.8158730158730159,0.8362573099415205,0.8034188034188035,0.8222222222222222,0.8327485380116959,0.8333333333333333,0.8014814814814815,0.8222222222222222,0.7801169590643274
one-plus-o220,0.8592592592592593,0.9019607843137255,0.9148148148148149,0.975,0.837037037037037,1.0,0.9333333333333333,0.8222222222222222,0.9333333333333333,0.8592592592592593,0.9333333333333333,0.9148148148148149,0.8026143790849674,0.8814814814814815,0.8197530864197531,0.8875816993464053,0.854320987654321,0.7753086419753086,0.8148148148148149,0.8425925925925926,0.8351851851851853,0.8301587301587301,0.808641975308642,0.8598290598290599,0.8345679012345679,0.8382716049382716,0.8047619047619048,0.8059259259259259,0.837037037037037,0.7950617283950617
one-plus-o222,0.8962962962962964,0.8588235294117648,0.8481481481481481,0.9,0.8666666666666667,0.9333333333333333,1.0,0.8666666666666666,1.0,0.8888888888888888,1.0,0.9814814814814815,0.8379084967320262,0.8814814814814815,0.8419753086419753,0.8954248366013072,0.8469135802469135,0.8123456790123457,0.8148148148148148,0.8703703703703703,0.8185185185185185,0.8158730158730159,0.8160493827160494,0.8034188034188035,0.8271604938271605,0.8345679012345679,0.8428571428571429,0.8103703703703704,0.8222222222222222,0.8024691358024691
one-plus-o223,0.8518518518518519,0.8392156862745097,0.8703703703703703,0.8291666666666666,0.8814814814814815,0.8222222222222222,0.8666666666666667,1.0,0.8666666666666667,1.0,0.8666666666666667,0.8481481481481481,0.8418300653594771,0.8666666666666667,0.8629629629629629,0.8483660130718954,0.8246913580246913,0.7901234567901234,0.8185185185185185,0.8203703703703704,0.8629629629629629,0.8301587301587302,0.8407407407407407,0.8034188034188035,0.8493827160493826,0.845679012345679,0.8428571428571429,0.8281481481481481,0.8296296296296296,0.7975308641975308
one-plus-o225,0.8962962962962964,0.8588235294117648,0.8481481481481481,0.9,0.8666666666666667,0.9333333333333333,1.0,0.8666666666666666,1.0,0.8888888888888888,1.0,0.9814814814814815,0.8379084967320262,0.8814814814814815,0.8419753086419753,0.8954248366013072,0.8469135802469135,0.8123456790123457,0.8148148148148148,0.8703703703703703,0.8185185185185185,0.8158730158730159,0.8160493827160494,0.8034188034188035,0.8271604938271605,0.8345679012345679,0.8428571428571429,0.8103703703703704,0.8222222222222222,0.8024691358024691
one-plus-o226,0.8555555555555555,0.8235294117647058,0.8491228070175438,0.8458333333333333,0.8842105263157894,0.8592592592592593,0.8888888888888888,1.0,0.8888888888888888,1.0,0.8888888888888888,0.8703703703703703,0.8418300653594771,0.9111111111111111,0.8644444444444445,0.8836601307189542,0.8691358024691358,0.7871345029239766,0.8175438596491228,0.8814814814814815,0.8351851851851853,0.8301587301587302,0.8270531400966183,0.8188034188034188,0.8212560386473429,0.8377777777777777,0.8571428571428572,0.8325925925925927,0.8407407407407408,0.796969696969697
one-plus-o227,0.8962962962962964,0.8588235294117648,0.8481481481481481,0.9,0.8666666666666667,0.9333333333333333,1.0,0.8666666666666666,1.0,0.8888888888888888,1.0,0.9814814814814815,0.8379084967320262,0.8814814814814815,0.8419753086419753,0.8954248366013072,0.8469135802469135,0.8123456790123457,0.8148148148148148,0.8703703703703703,0.8185185185185185,0.8158730158730159,0.8160493827160494,0.8034188034188035,0.8271604938271605,0.8345679012345679,0.8428571428571429,0.8103703703703704,0.8222222222222222,0.8024691358024691
one-plus-o228,0.8777777777777778,0.8392156862745098,0.8666666666666667,0.9,0.8481481481481481,0.9148148148148149,0.9814814814814815,0.8481481481481481,0.9814814814814815,0.8703703703703703,0.9814814814814815,1.0,0.8183006535947712,0.8814814814814815,0.8530864197530864,0.8758169934640523,0.828395061728395,0.8308641975308642,0.8333333333333333,0.8703703703703703,0.812962962962963,0.8301587301587301,0.8271604938271605,0.8239316239316239,0.808641975308642,0.845679012345679,0.8428571428571429,0.8103703703703704,0.8407407407407408,0.7987654320987654
one-plus-o243,0.8300653594771241,0.8104575163398693,0.8496732026143791,0.8027777777777778,0.7908496732026145,0.8026143790849674,0.8379084967320262,0.8418300653594771,0.8379084967320262,0.8418300653594771,0.8379084967320262,0.8183006535947712,1.0,0.8839506172839506,0.8457516339869281,0.7843137254901961,0.8261437908496732,0.8,0.7947712418300653,0.8574074074074074,0.8611111111111112,0.826984126984127,0.8496732026143791,0.8051282051282052,0.7777777777777778,0.8313725490196079,0.8412698412698413,0.8414814814814815,0.8209150326797385,0.8366013071895425
one-plus-o356,0.9185185185185185,0.8740740740740741,0.8888888888888888,0.8888888888888888,0.8666666666666667,0.8814814814814815,0.8814814814814815,0.8666666666666667,0.8814814814814815,0.9111111111111111,0.8814814814814815,0.8814814814814815,0.8839506172839506,1.0,0.8691358024691358,0.9259259259259259,0.9185185185185185,0.8691358024691358,0.8296296296296296,0.854320987654321,0.8320987654320988,0.8592592592592593,0.8444444444444444,0.8790123456790123,0.8666666666666667,0.8864197530864197,0.837037037037037,0.9061728395061729,0.8790123456790123,0.8148148148148149
random--la102,0.8244444444444444,0.8601307189542484,0.8257309941520468,0.8347222222222223,0.8257309941520468,0.8197530864197531,0.8419753086419753,0.8629629629629629,0.8419753086419753,0.8644444444444445,0.8419753086419753,0.8530864197530864,0.8457516339869281,0.8691358024691358,1.0,0.8575163398692811,0.837037037037037,0.8771929824561403,0.8187134502923976,0.8703703703703703,0.8333333333333334,0.838095238095238,0.8322222222222222,0.8376068376068376,0.8355555555555556,0.8222222222222222,0.8492063492063493,0.8118518518518518,0.8506172839506173,0.7977777777777778
random--la1020,0.8522875816993464,0.8405228758169935,0.8718954248366013,0.888888888888889,0.8640522875816994,0.8875816993464053,0.8954248366013072,0.8483660130718954,0.8954248366013072,0.8836601307189542,0.8954248366013072,0.8758169934640523,0.7843137254901961,0.9259259259259259,0.8575163398692811,1.0,0.9019607843137255,0.803921568627451,0.8248366013071895,0.8740740740740741,0.8314814814814815,0.8317460317460318,0.8300653594771241,0.8683760683760684,0.8379084967320262,0.85359477124183,0.8269841269841269,0.8251851851851852,0.8248366013071895,0.8392156862745097
random--la1024,0.8691358024691358,0.8418300653594771,0.8469135802469135,0.8444444444444444,0.828395061728395,0.854320987654321,0.8469135802469135,0.8246913580246913,0.8469135802469135,0.8691358024691358,0.8469135802469135,0.828395061728395,0.8261437908496732,0.9185185185185185,0.837037037037037,0.9019607843137255,1.0,0.8444444444444444,0.8358024691358025,0.912962962962963,0.837037037037037,0.8047619047619048,0.8308641975308642,0.8256410256410257,0.8148148148148148,0.8407407407407408,0.8126984126984127,0.8192592592592592,0.8098765432098765,0.8037037037037037
