test,num_obes
one-plus-o243,0
random--la112,0
random--la114,0
random--la104,0
random--la1018,1
random--la1021,0
random--la23,0
random--la213,0
random--la218,0
random--la35,0
random--la318,1
random--la44,0
random--la46,0
random--la430,0
random--la438,1
random--la519,0
random--la532,0
random--la62,0
random--la621,0
random--la631,0
random--la638,0
random--la657,0
random--la660,0
random--la712,1
random--la724,0
random--la86,0
random--la87,0
random--la93,0
random--la94,0
random--la910,0
