test,sampling_index
random--la11,22
random--la14,-1
random--la17,-1
random--la18,-1
random--la111,21
random--la115,-1
random--la117,-1
random--la102,-1
random--la103,-1
random--la105,-1
random--la108,-1
random--la109,-1
random--la1012,-1
random--la1017,-1
random--la1018,16
random--la1020,-1
random--la23,-1
random--la24,-1
random--la28,-1
random--la210,-1
random--la211,-1
random--la213,-1
random--la214,-1
random--la215,12
random--la216,-1
random--la218,-1
random--la219,-1
random--la220,-1
random--la222,-1
random--la31,-1
random--la35,-1
random--la36,-1
random--la37,24
random--la38,-1
random--la310,-1
random--la311,0
random--la318,-1
random--la321,-1
random--la322,5
random--la323,-1
random--la42,-1
random--la44,-1
random--la46,-1
random--la49,-1
random--la412,-1
random--la413,-1
random--la414,-1
random--la415,4
random--la53,8
random--la56,-1
random--la57,-1
random--la58,2
random--la59,-1
random--la510,-1
random--la511,-1
random--la517,-1
random--la518,-1
random--la520,-1
random--la61,26
random--la62,-1
random--la63,-1
random--la66,-1
random--la68,-1
random--la610,17
random--la614,27
random--la615,28
random--la616,-1
random--la617,3
random--la619,-1
random--la621,-1
random--la622,-1
random--la623,-1
random--la625,-1
random--la626,-1
random--la627,25
random--la72,-1
random--la74,-1
random--la75,15
random--la77,-1
random--la79,-1
random--la711,14
random--la713,-1
random--la714,23
random--la716,-1
random--la718,-1
random--la719,-1
random--la82,-1
random--la84,6
random--la85,-1
random--la87,-1
random--la88,10
random--la810,-1
random--la811,-1
random--la813,-1
random--la814,1
random--la816,-1
random--la818,-1
random--la819,29
random--la820,19
random--la821,11
random--la822,7
random--la824,-1
random--la92,-1
random--la93,20
random--la96,-1
random--la98,-1
random--la910,-1
random--la912,9
random--la914,-1
random--la916,13
random--la917,-1
random--la918,-1
random--la921,18
random--la922,-1
random--la923,-1
