test,num_obes
random--la11,1
random--la111,1
random--la1018,0
random--la215,1
random--la37,1
random--la311,0
random--la322,1
random--la415,1
random--la53,1
random--la58,0
random--la61,1
random--la610,1
random--la614,0
random--la615,0
random--la617,1
random--la627,1
random--la75,0
random--la711,0
random--la714,1
random--la84,0
random--la88,1
random--la814,1
random--la819,0
random--la820,0
random--la821,0
random--la822,0
random--la93,1
random--la912,0
random--la916,0
random--la921,0
