test,num_states
random--la14,83
random--la108,520
random--la24,467
random--la28,67
random--la214,757
random--la218,366
random--la220,303
random--la35,444
random--la42,267
random--la44,511
random--la412,648
random--la59,519
random--la510,412
random--la517,551
random--la520,755
random--la61,72
random--la63,511
random--la616,736
random--la623,603
random--la625,711
random--la75,604
random--la77,259
random--la79,348
random--la714,69
random--la87,499
random--la818,592
random--la821,656
random--la824,479
random--la92,887
random--la917,703
