test,num_obes
one-plus-o220,0
one-plus-o223,0
random--la112,0
random--la115,1
random--la102,0
random--la107,0
random--la1018,1
random--la1020,0
random--la1021,0
random--la219,1
random--la223,0
random--la229,0
random--la33,0
random--la314,0
random--la318,1
random--la42,0
random--la43,0
random--la411,0
random--la438,1
random--la514,0
random--la519,0
random--la520,1
random--la621,0
random--la637,0
random--la660,0
random--la76,0
random--la727,0
random--la83,0
random--la86,0
random--la87,0
