test,num_obes
random--la17,1
random--la19,0
random--la107,0
random--la1010,0
random--la1014,0
random--la24,0
random--la218,0
random--la219,1
random--la223,0
random--la231,0
random--la33,0
random--la42,0
random--la43,0
random--la412,0
random--la413,0
random--la423,0
random--la427,0
random--la431,0
random--la435,0
random--la54,1
random--la623,0
random--la74,0
random--la712,1
random--la729,0
random--la731,0
random--la86,0
random--la87,0
random--la828,0
random--la910,0
random--la924,0
