test,num_obes
one-plus-o243,0
random--la17,1
random--la26,0
random--la211,0
random--la231,0
random--la232,0
random--la235,0
random--la237,0
random--la413,0
random--la419,1
random--la421,1
random--la430,0
random--la52,0
random--la53,0
random--la54,1
random--la68,0
random--la614,0
random--la623,0
random--la625,0
random--la642,0
random--la653,0
random--la654,0
random--la655,0
random--la657,0
random--la658,0
random--la78,0
random--la732,0
random--la93,0
random--la913,0
random--la923,0
