test,sampling_index
random--la11,-1
random--la14,-1
random--la17,-1
random--la18,19
random--la111,-1
random--la115,-1
random--la117,-1
random--la102,-1
random--la103,-1
random--la105,-1
random--la108,-1
random--la109,-1
random--la1012,-1
random--la1017,-1
random--la1018,-1
random--la1020,-1
random--la23,-1
random--la24,-1
random--la28,-1
random--la210,-1
random--la211,-1
random--la213,-1
random--la214,7
random--la215,-1
random--la216,27
random--la218,-1
random--la219,2
random--la220,-1
random--la222,16
random--la31,20
random--la35,-1
random--la36,-1
random--la37,-1
random--la38,-1
random--la310,-1
random--la311,18
random--la318,-1
random--la321,-1
random--la322,6
random--la323,-1
random--la42,-1
random--la44,-1
random--la46,14
random--la49,3
random--la412,4
random--la413,-1
random--la414,-1
random--la415,-1
random--la53,10
random--la56,-1
random--la57,17
random--la58,29
random--la59,-1
random--la510,-1
random--la511,22
random--la517,-1
random--la518,-1
random--la520,21
random--la61,26
random--la62,-1
random--la63,-1
random--la66,-1
random--la68,-1
random--la610,-1
random--la614,-1
random--la615,-1
random--la616,13
random--la617,0
random--la619,23
random--la621,-1
random--la622,-1
random--la623,-1
random--la625,-1
random--la626,1
random--la627,11
random--la72,-1
random--la74,-1
random--la75,-1
random--la77,-1
random--la79,-1
random--la711,-1
random--la713,-1
random--la714,9
random--la716,-1
random--la718,-1
random--la719,-1
random--la82,-1
random--la84,-1
random--la85,24
random--la87,-1
random--la88,-1
random--la810,-1
random--la811,15
random--la813,-1
random--la814,-1
random--la816,-1
random--la818,-1
random--la819,-1
random--la820,-1
random--la821,28
random--la822,25
random--la824,-1
random--la92,-1
random--la93,-1
random--la96,-1
random--la98,-1
random--la910,-1
random--la912,5
random--la914,-1
random--la916,-1
random--la917,-1
random--la918,-1
random--la921,12
random--la922,8
random--la923,-1
