test,num_obes
one-plus-o217,0
one-plus-o222,0
one-plus-o224,0
one-plus-o225,0
random--la19,0
random--la1018,1
random--la1021,0
random--la26,0
random--la223,0
random--la231,0
random--la237,0
random--la314,0
random--la318,1
random--la42,0
random--la413,0
random--la430,0
random--la431,0
random--la514,0
random--la526,0
random--la532,0
random--la614,0
random--la625,0
random--la631,0
random--la635,0
random--la641,0
random--la642,0
random--la653,0
random--la655,0
random--la658,0
random--la94,0
