coverage_measure,value
speed_bins,0.875
speed_bins_cleanup,0.8125
steering_bins,1.0
steering_bins_cleanup,0.5
steering_bins_non_uniform_percentile,1.0
steering_bins_non_uniform_percentile_cleanup,1.0
distance_bins,0.5625
distance_bins_cleanup,0.125
speed_steering_2d_bins,0.4375
speed_steering_2d_bins_cleanup,0.09765625
speed_steering_2d_bins_adjusted,0.73046875
speed_steering_2d_bins_adjusted_cleanup,0.3125
obe_2d,0.02
obe_2d_cleanup,0.0
