coverage_measure,value
speed_bins,0.875
speed_bins_cleanup,0.8125
steering_bins,1.0
steering_bins_cleanup,0.4375
steering_bins_non_uniform_percentile,1.0
steering_bins_non_uniform_percentile_cleanup,1.0
distance_bins,0.875
distance_bins_cleanup,0.125
speed_steering_2d_bins,0.49609375
speed_steering_2d_bins_cleanup,0.09375
speed_steering_2d_bins_adjusted,0.73828125
speed_steering_2d_bins_adjusted_cleanup,0.265625
obe_2d,0.03
obe_2d_cleanup,0.0
