test,num_obes
one-plus-o216,0
one-plus-o222,0
one-plus-o227,0
one-plus-o243,0
random--la13,0
random--la125,0
random--la102,0
random--la24,0
random--la26,0
random--la219,1
random--la33,0
random--la318,1
random--la43,0
random--la44,0
random--la411,0
random--la427,0
random--la431,0
random--la514,0
random--la519,0
random--la520,1
random--la523,0
random--la66,1
random--la620,0
random--la621,0
random--la637,0
random--la638,0
random--la650,0
random--la76,0
random--la712,1
random--la727,0
