test,num_obes
random--la17,1
random--la111,1
random--la117,1
random--la108,0
random--la109,1
random--la1018,0
random--la23,0
random--la24,0
random--la214,0
random--la311,0
random--la44,0
random--la413,1
random--la57,0
random--la62,1
random--la625,0
random--la79,1
random--la716,0
random--la718,0
random--la719,1
random--la82,1
random--la811,1
random--la813,0
random--la814,1
random--la818,0
random--la92,0
random--la93,1
random--la96,1
random--la912,0
random--la916,0
random--la918,0
