road,one-plus-o1014,one-plus-o219,one-plus-o221,one-plus-o320,one-plus-o328,one-plus-o335,one-plus-o348,one-plus-o349,one-plus-o350,one-plus-o356,one-plus-o359,one-plus-o368,random--la124,random--la23,random--la213,random--la240,random--la315,random--la431,random--la434,random--la510,random--la635,random--la637,random--la651,random--la656,random--la658,random--la77,random--la726,random--la734,random--la910,random--la924
random--la23,0.9375,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,0.8125,0.9375,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0
random--la213,0.9375,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,0.8125,0.9375,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0
random--la240,0.9375,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,0.8125,0.9375,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0
random--la315,0.875,0.8125,0.875,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.9375,0.8125,0.8125,0.8125,1.0,0.875,0.8125,0.875,0.8125,0.8125,0.875,0.8125,0.8125,0.8125,0.8125,0.8125,0.875,0.8125
random--la431,1.0,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,1.0,0.9375,1.0,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.9375
random--la434,0.9375,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,0.8125,0.9375,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0
random--la510,1.0,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,1.0,0.9375,1.0,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.9375
random--la635,0.9375,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,0.8125,0.9375,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0
random--la637,0.9375,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,0.8125,0.9375,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0
random--la651,1.0,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,1.0,0.9375,1.0,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.9375
random--la656,0.9375,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,0.8125,0.9375,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0
random--la658,0.9375,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,0.8125,0.9375,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0
random--la77,0.9375,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,0.8125,0.9375,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0
random--la726,0.9375,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,0.8125,0.9375,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0
random--la734,0.9375,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,0.8125,0.9375,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0
random--la910,1.0,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,1.0,0.9375,1.0,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.9375
random--la924,0.9375,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,0.8125,0.9375,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.9375,1.0
