road,one-plus-o1014,one-plus-o219,one-plus-o221,one-plus-o320,one-plus-o328,one-plus-o335,one-plus-o348,one-plus-o349,one-plus-o350,one-plus-o356,one-plus-o359,one-plus-o368,random--la124,random--la23,random--la213,random--la240,random--la315,random--la431,random--la434,random--la510,random--la635,random--la637,random--la651,random--la656,random--la658,random--la77,random--la726,random--la734,random--la910,random--la924
random--la431,0.703125,0.7421875,0.671875,0.73046875,0.73046875,0.69140625,0.62890625,0.73046875,0.7421875,0.69140625,0.703125,0.6953125,0.7265625,0.765625,0.7734375,0.73046875,0.7421875,1.0,0.7265625,0.72265625,0.7890625,0.765625,0.74609375,0.75,0.7578125,0.65234375,0.67578125,0.71484375,0.76171875,0.73828125
random--la434,0.7578125,0.7421875,0.796875,0.80859375,0.80078125,0.81640625,0.85546875,0.77734375,0.890625,0.91015625,0.8828125,0.859375,0.75,0.8515625,0.7890625,0.78515625,0.796875,0.7265625,1.0,0.80078125,0.796875,0.765625,0.81640625,0.84375,0.796875,0.89453125,0.73828125,0.73828125,0.80859375,0.83203125
random--la510,0.74609375,0.77734375,0.73828125,0.796875,0.8203125,0.7421875,0.7265625,0.7265625,0.77734375,0.75,0.73828125,0.77734375,0.82421875,0.80078125,0.83984375,0.75,0.73046875,0.72265625,0.80078125,1.0,0.80078125,0.76953125,0.796875,0.77734375,0.80078125,0.7421875,0.6953125,0.734375,0.7890625,0.7734375
random--la635,0.71875,0.7890625,0.7421875,0.80859375,0.80859375,0.76171875,0.70703125,0.74609375,0.7890625,0.76953125,0.7578125,0.7578125,0.796875,0.84375,0.84375,0.76953125,0.7421875,0.7890625,0.796875,0.80078125,1.0,0.828125,0.76171875,0.8125,0.796875,0.73828125,0.73046875,0.72265625,0.79296875,0.75390625
random--la637,0.7421875,0.7734375,0.7265625,0.76953125,0.76953125,0.73828125,0.68359375,0.76171875,0.7734375,0.73828125,0.734375,0.7265625,0.7734375,0.8203125,0.8203125,0.75390625,0.7421875,0.765625,0.765625,0.76953125,0.828125,1.0,0.73046875,0.796875,0.796875,0.71484375,0.72265625,0.74609375,0.78515625,0.77734375
random--la651,0.76171875,0.71484375,0.76171875,0.796875,0.828125,0.765625,0.7578125,0.7578125,0.80859375,0.7578125,0.80078125,0.77734375,0.76171875,0.80078125,0.79296875,0.7734375,0.73046875,0.74609375,0.81640625,0.796875,0.76171875,0.73046875,1.0,0.80859375,0.81640625,0.7734375,0.7421875,0.7265625,0.796875,0.7734375
random--la656,0.765625,0.7421875,0.7734375,0.80078125,0.81640625,0.76953125,0.78515625,0.84765625,0.8671875,0.83984375,0.84375,0.8125,0.765625,0.859375,0.8125,0.83203125,0.78125,0.75,0.84375,0.77734375,0.8125,0.796875,0.80859375,1.0,0.796875,0.79296875,0.74609375,0.73046875,0.81640625,0.76171875
random--la658,0.765625,0.765625,0.7421875,0.76953125,0.77734375,0.78515625,0.71484375,0.78515625,0.8125,0.75390625,0.7578125,0.8125,0.828125,0.78125,0.8125,0.76171875,0.7109375,0.7578125,0.796875,0.80078125,0.796875,0.796875,0.81640625,0.796875,1.0,0.74609375,0.76171875,0.78515625,0.80078125,0.80859375
random--la77,0.72265625,0.68359375,0.85546875,0.8125,0.796875,0.8359375,0.921875,0.7890625,0.83984375,0.890625,0.90234375,0.83203125,0.73046875,0.79296875,0.73046875,0.7421875,0.76171875,0.65234375,0.89453125,0.7421875,0.73828125,0.71484375,0.7734375,0.79296875,0.74609375,1.0,0.7421875,0.6953125,0.734375,0.796875
random--la726,0.74609375,0.67578125,0.71484375,0.7734375,0.78125,0.7578125,0.7265625,0.7890625,0.74609375,0.75,0.77734375,0.77734375,0.69921875,0.76171875,0.75390625,0.7578125,0.73046875,0.67578125,0.73828125,0.6953125,0.73046875,0.72265625,0.7421875,0.74609375,0.76171875,0.7421875,1.0,0.7421875,0.7578125,0.71875
random--la734,0.72265625,0.71484375,0.72265625,0.7578125,0.75,0.7578125,0.6875,0.796875,0.76171875,0.734375,0.73828125,0.77734375,0.73046875,0.77734375,0.78515625,0.78125,0.73828125,0.71484375,0.73828125,0.734375,0.72265625,0.74609375,0.7265625,0.73046875,0.78515625,0.6953125,0.7421875,1.0,0.8125,0.7421875
random--la910,0.77734375,0.71484375,0.75390625,0.78125,0.796875,0.75,0.734375,0.8125,0.83984375,0.78125,0.78515625,0.78515625,0.75390625,0.83984375,0.83984375,0.8203125,0.77734375,0.76171875,0.80859375,0.7890625,0.79296875,0.78515625,0.796875,0.81640625,0.80078125,0.734375,0.7578125,0.8125,1.0,0.8046875
random--la924,0.73828125,0.76171875,0.77734375,0.75,0.7734375,0.765625,0.8359375,0.71875,0.82421875,0.8046875,0.77734375,0.76171875,0.81640625,0.78515625,0.80078125,0.7421875,0.75390625,0.73828125,0.83203125,0.7734375,0.75390625,0.77734375,0.7734375,0.76171875,0.80859375,0.796875,0.71875,0.7421875,0.8046875,1.0
