test,num_obes
one-plus-o23,0
one-plus-o219,0
one-plus-o220,0
random--la13,0
random--la19,0
random--la104,0
random--la107,0
random--la1010,0
random--la1021,0
random--la26,0
random--la219,1
random--la33,0
random--la43,0
random--la411,0
random--la412,0
random--la427,0
random--la430,0
random--la431,0
random--la439,0
random--la512,0
random--la514,0
random--la523,0
random--la532,0
random--la631,0
random--la638,0
random--la660,0
random--la76,0
random--la712,1
random--la727,0
random--la87,0
