test,num_obes
one-plus-o220,0
one-plus-o243,0
random--la114,0
random--la119,1
random--la124,1
random--la102,0
random--la107,0
random--la1010,0
random--la1018,1
random--la1020,0
random--la1021,0
random--la1024,1
random--la26,0
random--la213,0
random--la219,1
random--la33,0
random--la314,0
random--la318,1
random--la42,0
random--la412,0
random--la431,0
random--la52,0
random--la519,0
random--la652,0
random--la654,0
random--la658,0
random--la660,0
random--la727,0
random--la86,0
random--la920,0
