test,num_obes
random--la18,1
random--la117,1
random--la1018,0
random--la23,0
random--la219,1
random--la222,0
random--la310,0
random--la322,1
random--la44,0
random--la49,1
random--la414,1
random--la56,0
random--la59,0
random--la510,1
random--la511,1
random--la61,1
random--la66,1
random--la616,0
random--la617,1
random--la619,1
random--la626,0
random--la79,1
random--la711,0
random--la714,1
random--la719,1
random--la811,1
random--la821,0
random--la96,1
random--la921,0
random--la922,1
