test,num_obes
random--la18,1
random--la1018,0
random--la214,0
random--la219,1
random--la222,0
random--la31,1
random--la310,0
random--la311,0
random--la322,1
random--la46,1
random--la49,1
random--la412,1
random--la57,0
random--la510,1
random--la511,1
random--la520,0
random--la61,1
random--la610,1
random--la616,0
random--la619,1
random--la627,1
random--la711,0
random--la714,1
random--la84,0
random--la811,1
random--la813,0
random--la814,1
random--la822,0
random--la921,0
random--la922,1
