test,num_states
random--la18,63
random--la111,88
random--la102,764
random--la109,219
random--la1018,652
random--la23,660
random--la211,443
random--la214,757
random--la215,310
random--la219,471
random--la311,699
random--la318,484
random--la321,660
random--la415,275
random--la57,776
random--la511,155
random--la517,551
random--la68,644
random--la617,235
random--la627,455
random--la74,480
random--la77,259
random--la711,640
random--la713,508
random--la714,69
random--la87,499
random--la819,632
random--la822,872
random--la914,151
random--la916,724
