test,num_states
one-plus-o23,756
one-plus-o212,543
one-plus-o216,576
one-plus-o217,637
one-plus-o220,653
one-plus-o222,599
one-plus-o223,606
one-plus-o225,598
one-plus-o226,786
one-plus-o243,526
one-plus-o329,423
one-plus-o344,391
one-plus-o350,424
one-plus-o353,509
one-plus-o361,389
one-plus-o368,371
random--la1024,180
random--la232,548
random--la240,471
random--la438,510
random--la53,366
random--la519,553
random--la523,728
random--la624,582
random--la631,522
random--la637,510
random--la76,548
random--la724,497
random--la733,456
random--la86,555
