coverage_measure,value
speed_bins,0.875
speed_bins_cleanup,0.8125
steering_bins,0.875
steering_bins_cleanup,0.5625
steering_bins_non_uniform_percentile,1.0
steering_bins_non_uniform_percentile_cleanup,1.0
distance_bins,0.1875
distance_bins_cleanup,0.1875
speed_steering_2d_bins,0.34765625
speed_steering_2d_bins_cleanup,0.10546875
speed_steering_2d_bins_adjusted,0.71484375
speed_steering_2d_bins_adjusted_cleanup,0.23828125
obe_2d,0.02
obe_2d_cleanup,0.0
