test,num_states
random--la11,379
random--la17,601
random--la18,63
random--la111,88
random--la1018,652
random--la219,471
random--la222,727
random--la31,95
random--la310,941
random--la311,699
random--la322,344
random--la46,129
random--la412,648
random--la53,499
random--la510,412
random--la511,155
random--la520,755
random--la610,85
random--la616,736
random--la626,672
random--la714,69
random--la84,871
random--la85,672
random--la811,64
random--la814,195
random--la816,748
random--la819,632
random--la821,656
random--la822,872
random--la912,797
