test,num_obes
random--la11,1
random--la17,1
random--la18,1
random--la111,1
random--la1018,0
random--la219,1
random--la222,0
random--la31,1
random--la310,0
random--la311,0
random--la322,1
random--la46,1
random--la412,1
random--la53,1
random--la510,1
random--la511,1
random--la520,0
random--la610,1
random--la616,0
random--la626,0
random--la714,1
random--la84,0
random--la85,0
random--la811,1
random--la814,1
random--la816,1
random--la819,0
random--la821,0
random--la822,0
random--la912,0
