test,num_states
one-plus-o218,574
one-plus-o220,653
random--la1010,719
random--la1018,351
random--la26,686
random--la219,285
random--la33,487
random--la42,667
random--la427,606
random--la435,397
random--la438,510
random--la439,394
random--la53,366
random--la514,718
random--la515,402
random--la520,501
random--la62,524
random--la620,394
random--la654,512
random--la655,641
random--la656,528
random--la658,642
random--la74,550
random--la78,516
random--la722,678
random--la727,696
random--la82,731
random--la86,555
random--la87,666
random--la924,450
