test,num_states
one-plus-o22,391
one-plus-o227,599
one-plus-o230,599
one-plus-o238,438
one-plus-o34,358
one-plus-o37,337
one-plus-o320,395
one-plus-o331,428
one-plus-o340,394
one-plus-o344,391
one-plus-o346,388
random--la12,440
random--la1016,422
random--la24,441
random--la314,471
random--la43,701
random--la413,488
random--la415,22
random--la421,401
random--la424,568
random--la427,606
random--la53,366
random--la532,679
random--la619,351
random--la621,575
random--la628,327
random--la712,280
random--la717,424
random--la734,394
random--la911,518
