road,one-plus-o22,one-plus-o227,one-plus-o230,one-plus-o238,one-plus-o34,one-plus-o37,one-plus-o320,one-plus-o331,one-plus-o340,one-plus-o344,one-plus-o346,random--la12,random--la1016,random--la24,random--la314,random--la43,random--la413,random--la415,random--la421,random--la424,random--la427,random--la53,random--la532,random--la619,random--la621,random--la628,random--la712,random--la717,random--la734,random--la911
one-plus-o22,1.0,0.8266666666666667,0.7955555555555556,0.8923076923076924,0.8333333333333334,0.8666666666666667,0.8200000000000001,0.8333333333333334,0.8444444444444444,0.8740740740740741,0.8466666666666667,0.8222222222222222,0.8518518518518519,0.8564102564102565,0.9015873015873016,0.8488888888888889,0.8400000000000001,0.9333333333333333,0.8177777777777777,0.7603174603174603,0.8192592592592592,0.8240740740740741,0.7985185185185185,0.8355555555555556,0.7851851851851852,0.8222222222222222,0.8177777777777777,0.8266666666666667,0.8755555555555555,0.8047619047619048
one-plus-o227,0.8266666666666667,1.0,0.8980392156862745,0.841025641025641,0.8466666666666667,0.8400000000000001,0.8333333333333334,0.8266666666666667,0.8518518518518519,0.8444444444444444,0.8466666666666667,0.8269841269841269,0.8240740740740741,0.8358974358974359,0.8444444444444444,0.7975308641975308,0.7688888888888888,0.9666666666666667,0.7987654320987654,0.8126984126984127,0.8143790849673203,0.8240740740740741,0.8169934640522876,0.8422222222222222,0.7950617283950617,0.8422222222222222,0.8037037037037037,0.88,0.8488888888888889,0.8476190476190477
one-plus-o230,0.7955555555555556,0.8980392156862745,1.0,0.8393162393162393,0.8244444444444445,0.8733333333333333,0.8044444444444445,0.86,0.8666666666666667,0.8962962962962963,0.8444444444444444,0.8555555555555556,0.8314814814814815,0.8085470085470086,0.8206349206349206,0.807843137254902,0.8103703703703704,1.0,0.7960784313725491,0.7841269841269841,0.8065359477124183,0.8185185185185185,0.7908496732026143,0.8511111111111112,0.7856209150326797,0.8355555555555556,0.7973856209150327,0.8244444444444445,0.8666666666666667,0.8412698412698413
one-plus-o238,0.8923076923076924,0.841025641025641,0.8393162393162393,1.0,0.8400000000000001,0.8133333333333334,0.8333333333333334,0.8266666666666667,0.8444444444444444,0.8296296296296296,0.8466666666666667,0.8188034188034188,0.8574074074074074,0.7948717948717948,0.8358974358974359,0.8017094017094017,0.7794871794871795,0.9333333333333333,0.8017094017094017,0.8136752136752137,0.8495726495726497,0.8240740740740741,0.8153846153846154,0.8688888888888888,0.7846153846153846,0.8288888888888889,0.8358974358974359,0.8266666666666667,0.8688888888888888,0.8222222222222222
one-plus-o34,0.8333333333333334,0.8466666666666667,0.8244444444444445,0.8400000000000001,1.0,0.88,0.9666666666666667,0.8400000000000001,0.9259259259259259,0.8518518518518519,0.9133333333333333,0.86,0.8733333333333333,0.7955555555555556,0.8822222222222222,0.8733333333333333,0.8244444444444445,0.9333333333333333,0.8644444444444445,0.7577777777777778,0.8711111111111112,0.8422222222222222,0.8044444444444445,0.8755555555555555,0.8511111111111112,0.8822222222222222,0.8266666666666667,0.8133333333333334,0.8822222222222222,0.8111111111111111
one-plus-o37,0.8666666666666667,0.8400000000000001,0.8733333333333333,0.8133333333333334,0.88,1.0,0.8466666666666667,0.96,0.837037037037037,0.9111111111111111,0.86,0.8311111111111111,0.8155555555555556,0.7933333333333333,0.8488888888888889,0.8688888888888888,0.8955555555555555,0.9666666666666667,0.8066666666666666,0.7777777777777778,0.8577777777777778,0.8222222222222222,0.86,0.8355555555555556,0.8511111111111112,0.8822222222222222,0.8066666666666666,0.8533333333333333,0.8955555555555555,0.8377777777777777
one-plus-o320,0.8200000000000001,0.8333333333333334,0.8044444444444445,0.8333333333333334,0.9666666666666667,0.8466666666666667,1.0,0.8200000000000001,0.9629629629629629,0.8296296296296296,0.9466666666666667,0.8400000000000001,0.8666666666666667,0.7755555555555556,0.8488888888888889,0.8933333333333333,0.8222222222222222,0.9333333333333333,0.8711111111111112,0.7711111111111111,0.8377777777777777,0.8288888888888889,0.7711111111111111,0.8822222222222222,0.8311111111111111,0.8488888888888889,0.8200000000000001,0.78,0.8755555555555555,0.8200000000000001
one-plus-o331,0.8333333333333334,0.8266666666666667,0.86,0.8266666666666667,0.8400000000000001,0.96,0.8200000000000001,1.0,0.8222222222222222,0.9555555555555556,0.8466666666666667,0.7977777777777778,0.8022222222222223,0.7822222222222223,0.8222222222222222,0.8822222222222222,0.8688888888888889,0.9333333333333333,0.8333333333333334,0.7911111111111111,0.8577777777777778,0.8022222222222223,0.8377777777777777,0.8222222222222222,0.8377777777777777,0.8555555555555556,0.7822222222222222,0.8266666666666667,0.9088888888888889,0.8777777777777778
one-plus-o340,0.8444444444444444,0.8518518518518519,0.8666666666666667,0.8444444444444444,0.9259259259259259,0.837037037037037,0.9629629629629629,0.8222222222222222,1.0,0.9259259259259259,0.9851851851851852,0.8,0.8148148148148149,0.7802469135802469,0.854320987654321,0.8814814814814815,0.8395061728395062,0.9666666666666667,0.8790123456790123,0.8123456790123457,0.8493827160493828,0.8024691358024691,0.7604938271604939,0.9135802469135803,0.8345679012345679,0.8098765432098766,0.8148148148148149,0.7950617283950617,0.854320987654321,0.8197530864197531
one-plus-o344,0.8740740740740741,0.8444444444444444,0.8962962962962963,0.8296296296296296,0.8518518518518519,0.9111111111111111,0.8296296296296296,0.9555555555555556,0.9259259259259259,1.0,0.8666666666666667,0.8,0.817283950617284,0.7827160493827161,0.8246913580246914,0.9037037037037037,0.8469135802469137,1.0,0.8197530864197531,0.8567901234567902,0.8641975308641976,0.8,0.7975308641975308,0.854320987654321,0.8049382716049382,0.817283950617284,0.8222222222222222,0.8691358024691358,0.8839506172839506,0.8790123456790123
