test,num_obes
one-plus-o22,0
one-plus-o227,0
one-plus-o230,0
one-plus-o238,0
one-plus-o34,0
one-plus-o37,0
one-plus-o320,0
one-plus-o331,0
one-plus-o340,0
one-plus-o344,0
one-plus-o346,0
random--la12,0
random--la1016,0
random--la24,0
random--la314,0
random--la43,0
random--la413,0
random--la415,0
random--la421,1
random--la424,0
random--la427,0
random--la53,0
random--la532,0
random--la619,0
random--la621,0
random--la628,0
random--la712,1
random--la717,0
random--la734,0
random--la911,0
