test,num_obes
one-plus-o230,0
one-plus-o345,0
random--la19,0
random--la123,0
random--la124,1
random--la218,0
random--la219,1
random--la223,0
random--la237,0
random--la314,0
random--la318,1
random--la42,0
random--la44,0
random--la413,0
random--la431,0
random--la52,0
random--la620,0
random--la623,0
random--la631,0
random--la635,0
random--la650,0
random--la651,0
random--la655,0
random--la657,0
random--la78,0
random--la712,1
random--la717,0
random--la722,0
random--la87,0
random--la910,0
