test,num_states
random--la11,379
random--la111,88
random--la103,564
random--la108,520
random--la28,67
random--la211,443
random--la35,444
random--la37,439
random--la310,941
random--la318,484
random--la322,344
random--la414,131
random--la53,499
random--la510,412
random--la518,504
random--la520,755
random--la61,72
random--la68,644
random--la616,736
random--la622,619
random--la716,356
random--la85,672
random--la87,499
random--la88,472
random--la811,64
random--la819,632
random--la820,704
random--la98,78
random--la917,703
random--la923,612
