test,num_obes
random--la11,1
random--la111,1
random--la103,0
random--la108,0
random--la28,1
random--la211,0
random--la35,0
random--la37,1
random--la310,0
random--la318,0
random--la322,1
random--la414,1
random--la53,1
random--la510,1
random--la518,0
random--la520,0
random--la61,1
random--la68,0
random--la616,0
random--la622,0
random--la716,0
random--la85,0
random--la87,1
random--la88,1
random--la811,1
random--la819,0
random--la820,0
random--la98,1
random--la917,0
random--la923,0
