test,num_obes
random--la11,1
random--la111,1
random--la109,1
random--la215,1
random--la219,1
random--la31,1
random--la310,0
random--la311,0
random--la322,1
random--la46,1
random--la412,1
random--la415,1
random--la53,1
random--la510,1
random--la610,1
random--la616,0
random--la617,1
random--la625,0
random--la75,0
random--la711,0
random--la713,1
random--la84,0
random--la811,1
random--la816,1
random--la819,0
random--la820,0
random--la821,0
random--la822,0
random--la93,1
random--la912,0
