test,num_states
one-plus-o1011,443
one-plus-o212,543
one-plus-o217,637
one-plus-o219,479
one-plus-o232,392
one-plus-o239,431
one-plus-o39,332
one-plus-o313,353
one-plus-o357,428
random--la12,440
random--la17,12
random--la1014,527
random--la1024,180
random--la24,441
random--la211,649
random--la213,547
random--la228,463
random--la315,465
random--la43,701
random--la410,492
random--la419,337
random--la433,536
random--la52,594
random--la518,589
random--la62,524
random--la733,456
random--la819,583
random--la824,584
random--la916,332
random--la926,414
