test,num_obes
one-plus-o1011,0
one-plus-o212,0
one-plus-o217,0
one-plus-o219,0
one-plus-o232,0
one-plus-o239,0
one-plus-o39,0
one-plus-o313,0
one-plus-o357,0
random--la12,0
random--la17,1
random--la1014,0
random--la1024,1
random--la24,0
random--la211,0
random--la213,0
random--la228,0
random--la315,1
random--la43,0
random--la410,0
random--la419,1
random--la433,0
random--la52,0
random--la518,0
random--la62,0
random--la733,0
random--la819,0
random--la824,0
random--la916,0
random--la926,0
