road,one-plus-o243,one-plus-o35,one-plus-o38,one-plus-o324,random--la19,random--la122,random--la1017,random--la1021,random--la1022,random--la1024,random--la235,random--la240,random--la314,random--la317,random--la413,random--la415,random--la423,random--la438,random--la518,random--la62,random--la66,random--la628,random--la637,random--la638,random--la660,random--la72,random--la732,random--la86,random--la88,random--la813
random--la413,1.0,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,1.0,0.9375,0.625,0.9375,0.9375,0.9375,1.0,1.0,0.9375,1.0,0.9375,0.9375
random--la415,0.9375,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.9375,0.875,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.875,0.9375,1.0,0.5625,1.0,1.0,1.0,0.9375,0.9375,1.0,0.9375,1.0,1.0
random--la423,0.9375,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.9375,0.875,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.875,0.9375,1.0,0.5625,1.0,1.0,1.0,0.9375,0.9375,1.0,0.9375,1.0,1.0
random--la438,0.9375,0.875,0.875,0.875,0.9375,0.875,0.875,0.875,0.9375,1.0,0.875,0.875,0.875,0.875,0.9375,0.875,0.875,1.0,0.9375,0.875,0.6875,0.875,0.875,0.875,0.9375,0.9375,0.875,0.9375,0.875,0.875
random--la518,1.0,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,1.0,0.9375,0.625,0.9375,0.9375,0.9375,1.0,1.0,0.9375,1.0,0.9375,0.9375
random--la62,0.9375,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.9375,0.875,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.875,0.9375,1.0,0.5625,1.0,1.0,1.0,0.9375,0.9375,1.0,0.9375,1.0,1.0
random--la66,0.625,0.5625,0.5625,0.5625,0.625,0.5625,0.5625,0.5625,0.625,0.6875,0.5625,0.5625,0.5625,0.5625,0.625,0.5625,0.5625,0.6875,0.625,0.5625,1.0,0.5625,0.5625,0.5625,0.625,0.625,0.5625,0.625,0.5625,0.5625
random--la628,0.9375,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.9375,0.875,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.875,0.9375,1.0,0.5625,1.0,1.0,1.0,0.9375,0.9375,1.0,0.9375,1.0,1.0
random--la637,0.9375,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.9375,0.875,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.875,0.9375,1.0,0.5625,1.0,1.0,1.0,0.9375,0.9375,1.0,0.9375,1.0,1.0
random--la638,0.9375,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.9375,0.875,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.875,0.9375,1.0,0.5625,1.0,1.0,1.0,0.9375,0.9375,1.0,0.9375,1.0,1.0
random--la660,1.0,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,1.0,0.9375,0.625,0.9375,0.9375,0.9375,1.0,1.0,0.9375,1.0,0.9375,0.9375
random--la72,1.0,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,1.0,0.9375,0.625,0.9375,0.9375,0.9375,1.0,1.0,0.9375,1.0,0.9375,0.9375
random--la732,0.9375,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.9375,0.875,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.875,0.9375,1.0,0.5625,1.0,1.0,1.0,0.9375,0.9375,1.0,0.9375,1.0,1.0
random--la86,1.0,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,1.0,0.9375,0.625,0.9375,0.9375,0.9375,1.0,1.0,0.9375,1.0,0.9375,0.9375
random--la88,0.9375,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.9375,0.875,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.875,0.9375,1.0,0.5625,1.0,1.0,1.0,0.9375,0.9375,1.0,0.9375,1.0,1.0
random--la813,0.9375,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,0.9375,0.875,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.875,0.9375,1.0,0.5625,1.0,1.0,1.0,0.9375,0.9375,1.0,0.9375,1.0,1.0
