test,num_obes
random--la17,1
random--la1017,0
random--la1018,0
random--la219,1
random--la31,1
random--la310,0
random--la311,0
random--la322,1
random--la323,0
random--la42,1
random--la44,0
random--la46,1
random--la53,1
random--la57,0
random--la610,1
random--la627,1
random--la711,0
random--la84,0
random--la811,1
random--la814,1
random--la816,1
random--la819,0
random--la820,0
random--la822,0
random--la93,1
random--la912,0
random--la914,1
random--la918,0
random--la921,0
random--la923,0
