test,num_states
one-plus-o27,413
one-plus-o222,599
one-plus-o239,431
one-plus-o34,358
one-plus-o36,344
one-plus-o37,337
one-plus-o318,438
one-plus-o334,297
one-plus-o344,391
one-plus-o356,352
one-plus-o360,378
one-plus-o365,294
one-plus-o368,371
random--la115,12
random--la1014,527
random--la1024,180
random--la24,441
random--la26,686
random--la410,492
random--la434,376
random--la438,510
random--la523,728
random--la65,686
random--la68,503
random--la630,603
random--la76,548
random--la726,453
random--la731,532
random--la82,731
random--la920,553
