road,one-plus-o27,one-plus-o222,one-plus-o239,one-plus-o34,one-plus-o36,one-plus-o37,one-plus-o318,one-plus-o334,one-plus-o344,one-plus-o356,one-plus-o360,one-plus-o365,one-plus-o368,random--la115,random--la1014,random--la1024,random--la24,random--la26,random--la410,random--la434,random--la438,random--la523,random--la65,random--la68,random--la630,random--la76,random--la726,random--la731,random--la82,random--la920
one-plus-o27,1.0,1.0,1.0,0.875,0.9375,0.8125,1.0,0.8125,0.875,0.8125,0.9375,0.875,0.875,0.125,1.0,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375,1.0,1.0
one-plus-o222,1.0,1.0,1.0,0.875,0.9375,0.8125,1.0,0.8125,0.875,0.8125,0.9375,0.875,0.875,0.125,1.0,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375,1.0,1.0
one-plus-o239,1.0,1.0,1.0,0.875,0.9375,0.8125,1.0,0.8125,0.875,0.8125,0.9375,0.875,0.875,0.125,1.0,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375,1.0,1.0
one-plus-o34,0.875,0.875,0.875,1.0,0.8125,0.6875,0.875,0.8125,1.0,0.8125,0.8125,1.0,0.75,0.25,0.875,0.875,0.875,0.875,0.875,0.8125,0.875,0.875,0.875,0.875,0.875,0.875,0.8125,0.8125,0.875,0.875
one-plus-o36,0.9375,0.9375,0.9375,0.8125,1.0,0.875,0.9375,0.75,0.8125,0.875,1.0,0.8125,0.9375,0.0625,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,0.875,0.9375,0.9375
one-plus-o37,0.8125,0.8125,0.8125,0.6875,0.875,1.0,0.8125,0.75,0.6875,0.875,0.875,0.6875,0.9375,0.1875,0.8125,0.8125,0.8125,0.8125,0.8125,0.875,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.875,0.875,0.8125,0.8125
one-plus-o318,1.0,1.0,1.0,0.875,0.9375,0.8125,1.0,0.8125,0.875,0.8125,0.9375,0.875,0.875,0.125,1.0,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375,1.0,1.0
one-plus-o334,0.8125,0.8125,0.8125,0.8125,0.75,0.75,0.8125,1.0,0.8125,0.875,0.75,0.8125,0.8125,0.3125,0.8125,0.8125,0.8125,0.8125,0.8125,0.875,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.875,0.875,0.8125,0.8125
one-plus-o344,0.875,0.875,0.875,1.0,0.8125,0.6875,0.875,0.8125,1.0,0.8125,0.8125,1.0,0.75,0.25,0.875,0.875,0.875,0.875,0.875,0.8125,0.875,0.875,0.875,0.875,0.875,0.875,0.8125,0.8125,0.875,0.875
one-plus-o356,0.8125,0.8125,0.8125,0.8125,0.875,0.875,0.8125,0.875,0.8125,1.0,0.875,0.8125,0.9375,0.1875,0.8125,0.8125,0.8125,0.8125,0.8125,1.0,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.875,0.875,0.8125,0.8125
