test,num_obes
one-plus-o27,0
one-plus-o222,0
one-plus-o239,0
one-plus-o34,0
one-plus-o36,0
one-plus-o37,0
one-plus-o318,0
one-plus-o334,0
one-plus-o344,0
one-plus-o356,0
one-plus-o360,0
one-plus-o365,0
one-plus-o368,0
random--la115,1
random--la1014,0
random--la1024,1
random--la24,0
random--la26,0
random--la410,0
random--la434,0
random--la438,1
random--la523,0
random--la65,0
random--la68,0
random--la630,0
random--la76,0
random--la726,0
random--la731,0
random--la82,0
random--la920,0
