test,num_states
random--la18,63
random--la1018,652
random--la219,471
random--la222,727
random--la31,95
random--la37,439
random--la310,941
random--la322,344
random--la44,511
random--la49,316
random--la412,648
random--la53,499
random--la57,776
random--la511,155
random--la61,72
random--la66,130
random--la610,85
random--la617,235
random--la619,228
random--la627,455
random--la84,871
random--la85,672
random--la811,64
random--la814,195
random--la821,656
random--la822,872
random--la824,479
random--la912,797
random--la921,740
random--la922,488
