test,num_obes
random--la18,1
random--la1018,0
random--la219,1
random--la222,0
random--la31,1
random--la37,1
random--la310,0
random--la322,1
random--la44,0
random--la49,1
random--la412,1
random--la53,1
random--la57,0
random--la511,1
random--la61,1
random--la66,1
random--la610,1
random--la617,1
random--la619,1
random--la627,1
random--la84,0
random--la85,0
random--la811,1
random--la814,1
random--la821,0
random--la822,0
random--la824,1
random--la912,0
random--la921,0
random--la922,1
