test,num_obes
random--la17,1
random--la18,1
random--la109,1
random--la1018,0
random--la216,1
random--la219,1
random--la31,1
random--la310,0
random--la311,0
random--la322,1
random--la49,1
random--la53,1
random--la62,1
random--la66,1
random--la610,1
random--la616,0
random--la626,0
random--la75,0
random--la711,0
random--la84,0
random--la85,0
random--la811,1
random--la816,1
random--la819,0
random--la820,0
random--la821,0
random--la822,0
random--la912,0
random--la918,0
random--la921,0
