test,num_states
random--la17,601
random--la18,63
random--la109,219
random--la1018,652
random--la216,24
random--la219,471
random--la31,95
random--la310,941
random--la311,699
random--la322,344
random--la49,316
random--la53,499
random--la62,224
random--la66,130
random--la610,85
random--la616,736
random--la626,672
random--la75,604
random--la711,640
random--la84,871
random--la85,672
random--la811,64
random--la816,748
random--la819,632
random--la820,704
random--la821,656
random--la822,872
random--la912,797
random--la918,613
random--la921,740
