test,num_obes
one-plus-o216,0
one-plus-o217,0
one-plus-o222,0
one-plus-o223,0
one-plus-o225,0
one-plus-o243,0
random--la19,0
random--la1018,1
random--la1021,0
random--la26,0
random--la213,0
random--la218,0
random--la219,1
random--la232,0
random--la318,1
random--la43,0
random--la412,0
random--la430,0
random--la438,1
random--la520,1
random--la523,0
random--la532,0
random--la66,1
random--la621,0
random--la625,0
random--la631,0
random--la638,0
random--la76,0
random--la727,0
random--la86,0
