road,one-plus-o216,one-plus-o217,one-plus-o222,one-plus-o223,one-plus-o225,one-plus-o243,random--la19,random--la1018,random--la1021,random--la26,random--la213,random--la218,random--la219,random--la232,random--la318,random--la43,random--la412,random--la430,random--la438,random--la520,random--la523,random--la532,random--la66,random--la621,random--la625,random--la631,random--la638,random--la76,random--la727,random--la86
one-plus-o216,1.0,0.9614035087719298,0.8666666666666667,0.8814814814814815,0.8666666666666667,0.7908496732026145,0.8142857142857143,0.8116959064327485,0.7716049382716049,0.8467836257309942,0.8070175438596491,0.8070175438596491,0.8023391812865497,0.7871345029239766,0.8350877192982455,0.8035087719298245,0.8158730158730159,0.7847953216374269,0.8629629629629629,0.8037037037037037,0.8,0.7895424836601308,0.8222222222222222,0.7824561403508772,0.7765432098765432,0.8327485380116959,0.8333333333333333,0.8014814814814815,0.8163742690058479,0.8222222222222222
one-plus-o217,0.9614035087719298,1.0,0.8814814814814815,0.8518518518518519,0.8814814814814815,0.8457516339869281,0.8238095238095238,0.8242424242424242,0.7716049382716049,0.7906432748538011,0.8280701754385965,0.8210526315789474,0.7898989898989899,0.7941520467836256,0.8280701754385965,0.8095238095238095,0.8587301587301588,0.8052910052910053,0.8222222222222222,0.7962962962962963,0.7866666666666666,0.7816993464052288,0.8343434343434344,0.8090909090909091,0.7876543209876543,0.8177777777777777,0.8428571428571429,0.8325925925925926,0.8181818181818181,0.8185185185185184
one-plus-o222,0.8666666666666667,0.8814814814814815,1.0,0.8666666666666666,1.0,0.8379084967320262,0.8238095238095238,0.8271604938271605,0.7753086419753086,0.8123456790123457,0.8333333333333334,0.8148148148148148,0.7950617283950617,0.8012345679012346,0.8148148148148148,0.7975308641975308,0.8158730158730159,0.8604938271604938,0.8074074074074075,0.8333333333333334,0.7925925925925926,0.8169934640522876,0.8271604938271605,0.7950617283950617,0.7839506172839507,0.8345679012345679,0.8428571428571429,0.8103703703703704,0.825925925925926,0.8222222222222222
one-plus-o223,0.8814814814814815,0.8518518518518519,0.8666666666666667,1.0,0.8666666666666667,0.8418300653594771,0.8142857142857143,0.8271604938271605,0.7679012345679013,0.7901234567901234,0.837037037037037,0.8185185185185185,0.8629629629629629,0.7901234567901234,0.8,0.8271604938271605,0.8301587301587302,0.7876543209876543,0.8518518518518519,0.8111111111111111,0.7814814814814814,0.7895424836601308,0.8493827160493826,0.8037037037037037,0.7765432098765432,0.845679012345679,0.8428571428571429,0.8281481481481481,0.8358024691358025,0.8296296296296296
one-plus-o225,0.8666666666666667,0.8814814814814815,1.0,0.8666666666666666,1.0,0.8379084967320262,0.8238095238095238,0.8271604938271605,0.7753086419753086,0.8123456790123457,0.8333333333333334,0.8148148148148148,0.7950617283950617,0.8012345679012346,0.8148148148148148,0.7975308641975308,0.8158730158730159,0.8604938271604938,0.8074074074074075,0.8333333333333334,0.7925925925925926,0.8169934640522876,0.8271604938271605,0.7950617283950617,0.7839506172839507,0.8345679012345679,0.8428571428571429,0.8103703703703704,0.825925925925926,0.8222222222222222
one-plus-o243,0.7908496732026145,0.8457516339869281,0.8379084967320262,0.8418300653594771,0.8379084967320262,1.0,0.8095238095238095,0.8013071895424837,0.7725490196078432,0.8,0.837908496732026,0.7947712418300653,0.7751633986928105,0.8196078431372549,0.7725490196078432,0.8065359477124183,0.826984126984127,0.8248366013071895,0.8627450980392157,0.8130718954248366,0.8052287581699347,0.7973856209150327,0.7777777777777778,0.8013071895424837,0.8169934640522876,0.8313725490196079,0.8412698412698413,0.8414814814814815,0.8274509803921568,0.8209150326797385
random--la19,0.8142857142857143,0.8238095238095238,0.8238095238095238,0.8142857142857143,0.8238095238095238,0.8095238095238095,1.0,0.8206349206349206,0.7984126984126985,0.7777777777777777,0.8222222222222222,0.7841269841269841,0.7984126984126985,0.7825396825396825,0.8238095238095238,0.8317460317460317,0.792063492063492,0.7841269841269841,0.8142857142857143,0.8492063492063493,0.7793650793650794,0.7746031746031746,0.8111111111111111,0.8031746031746032,0.8412698412698413,0.8777777777777778,0.8111111111111111,0.8015873015873016,0.8158730158730159,0.7936507936507936
random--la1018,0.8116959064327485,0.8242424242424242,0.8271604938271605,0.8271604938271605,0.8271604938271605,0.8013071895424837,0.8206349206349206,1.0,0.8160493827160494,0.8362573099415205,0.8842105263157894,0.8339181286549707,0.8232323232323232,0.8187134502923976,0.7929824561403509,0.7915343915343915,0.8285714285714285,0.7788359788359789,0.8135802469135802,0.8074074074074074,0.8466666666666667,0.8052287581699347,0.8367149758454107,0.7545454545454545,0.7691358024691358,0.7911111111111111,0.8111111111111111,0.8118518518518518,0.8038647342995169,0.7851851851851852
random--la1021,0.7716049382716049,0.7716049382716049,0.7753086419753087,0.7679012345679013,0.7753086419753087,0.7725490196078432,0.7984126984126985,0.8160493827160494,1.0,0.7925925925925925,0.7901234567901234,0.8148148148148148,0.7888888888888889,0.8111111111111111,0.8123456790123457,0.8049382716049382,0.819047619047619,0.8012345679012346,0.7654320987654322,0.7962962962962963,0.7888888888888889,0.7555555555555555,0.8061728395061728,0.7962962962962963,0.7913580246913581,0.8185185185185185,0.8,0.8133333333333334,0.8,0.7604938271604937
random--la26,0.8467836257309942,0.7906432748538011,0.8123456790123457,0.7901234567901234,0.8123456790123457,0.8,0.7777777777777777,0.8362573099415205,0.7925925925925925,1.0,0.8222222222222222,0.8643274853801169,0.8339181286549707,0.7883040935672515,0.7801169590643274,0.7695906432748538,0.7904761904761904,0.7859649122807018,0.7753086419753087,0.7975308641975308,0.8467836257309941,0.7908496732026143,0.8538011695906432,0.7742690058479532,0.8148148148148148,0.7929824561403509,0.792063492063492,0.8118518518518518,0.776608187134503,0.7802469135802469
random--la213,0.8070175438596491,0.8280701754385965,0.8333333333333334,0.837037037037037,0.8333333333333334,0.837908496732026,0.8222222222222222,0.8842105263157894,0.7901234567901234,0.8222222222222222,1.0,0.8456140350877193,0.8011695906432749,0.8046783625730994,0.808187134502924,0.8175438596491228,0.8476190476190476,0.8,0.8111111111111111,0.7950617283950617,0.8105263157894737,0.7973856209150327,0.839766081871345,0.8023391812865497,0.8185185185185184,0.816374269005848,0.8222222222222222,0.797037037037037,0.816374269005848,0.8049382716049382
random--la218,0.8070175438596491,0.8210526315789474,0.8148148148148148,0.8185185185185185,0.8148148148148148,0.7947712418300653,0.7841269841269841,0.8339181286549707,0.8148148148148148,0.8643274853801169,0.8456140350877194,1.0,0.8128654970760234,0.8070175438596492,0.8245614035087719,0.7976608187134503,0.8412698412698413,0.8304093567251462,0.8148148148148148,0.8074074074074075,0.8350877192982455,0.7751633986928104,0.8304093567251462,0.8269005847953216,0.788888888888889,0.8140350877192982,0.8285714285714285,0.8237037037037037,0.8280701754385964,0.8135802469135802
