test,num_obes
random--la115,1
random--la102,0
random--la103,0
random--la108,0
random--la1020,0
random--la23,0
random--la211,0
random--la218,1
random--la219,1
random--la222,0
random--la310,0
random--la44,0
random--la49,1
random--la412,1
random--la415,1
random--la517,0
random--la520,0
random--la61,1
random--la610,1
random--la622,0
random--la79,1
random--la714,1
random--la716,0
random--la719,1
random--la82,1
random--la85,0
random--la819,0
random--la820,0
random--la917,0
random--la922,1
