test,num_obes
one-plus-o217,0
one-plus-o243,0
random--la17,1
random--la112,0
random--la114,0
random--la119,1
random--la125,0
random--la24,0
random--la26,0
random--la211,0
random--la213,0
random--la217,0
random--la218,0
random--la221,0
random--la33,0
random--la318,1
random--la435,0
random--la52,0
random--la635,0
random--la650,0
random--la658,0
random--la660,0
random--la727,0
random--la729,0
random--la86,0
random--la819,0
random--la93,0
random--la94,0
random--la915,0
random--la918,1
