test,num_obes
random--la14,1
random--la115,1
random--la103,0
random--la109,1
random--la1018,0
random--la213,0
random--la215,1
random--la216,1
random--la38,1
random--la311,0
random--la322,1
random--la323,0
random--la49,1
random--la412,1
random--la414,1
random--la58,0
random--la510,1
random--la62,1
random--la616,0
random--la621,0
random--la625,0
random--la75,0
random--la88,1
random--la816,1
random--la820,0
random--la92,0
random--la96,1
random--la98,1
random--la918,0
random--la921,0
