coverage_measure,value
speed_bins,0.8125
speed_bins_cleanup,0.625
steering_bins,0.875
steering_bins_cleanup,0.375
steering_bins_non_uniform_percentile,1.0
steering_bins_non_uniform_percentile_cleanup,1.0
distance_bins,0.25
distance_bins_cleanup,0.125
speed_steering_2d_bins,0.2265625
speed_steering_2d_bins_cleanup,0.0859375
speed_steering_2d_bins_adjusted,0.6015625
speed_steering_2d_bins_adjusted_cleanup,0.19921875
obe_2d,0.07
obe_2d_cleanup,0.0
