road,one-plus-o217,one-plus-o219,one-plus-o222,one-plus-o223,one-plus-o226,random--la13,random--la112,random--la114,random--la104,random--la107,random--la1010,random--la33,random--la43,random--la412,random--la430,random--la431,random--la438,random--la512,random--la514,random--la519,random--la532,random--la62,random--la621,random--la630,random--la655,random--la74,random--la712,random--la727,random--la819,random--la928
random--la43,0.74609375,0.7578125,0.78125,0.69140625,0.75390625,0.76171875,0.78515625,0.83203125,0.796875,0.82421875,0.7734375,0.7578125,1.0,0.76953125,0.79296875,0.75,0.796875,0.8359375,0.83203125,0.796875,0.84765625,0.83984375,0.765625,0.82421875,0.77734375,0.8203125,0.80078125,0.80859375,0.78125,0.80078125
random--la412,0.7265625,0.72265625,0.75390625,0.703125,0.703125,0.8046875,0.6953125,0.8125,0.76953125,0.703125,0.74609375,0.76953125,0.76953125,1.0,0.7890625,0.74609375,0.79296875,0.83984375,0.734375,0.76953125,0.796875,0.8125,0.76953125,0.78125,0.7734375,0.85546875,0.78125,0.75,0.77734375,0.765625
random--la430,0.7421875,0.76171875,0.76171875,0.7109375,0.71875,0.7890625,0.765625,0.8046875,0.81640625,0.734375,0.80859375,0.73828125,0.79296875,0.7890625,1.0,0.73828125,0.73046875,0.77734375,0.765625,0.80078125,0.8203125,0.8046875,0.77734375,0.78125,0.7890625,0.76171875,0.78125,0.765625,0.72265625,0.7734375
random--la431,0.72265625,0.7421875,0.75,0.69140625,0.74609375,0.76171875,0.70703125,0.74609375,0.7265625,0.69921875,0.7578125,0.7109375,0.75,0.74609375,0.73828125,1.0,0.75,0.765625,0.71484375,0.71875,0.78515625,0.76953125,0.7421875,0.70703125,0.76953125,0.765625,0.71484375,0.70703125,0.7578125,0.76953125
random--la438,0.73046875,0.7421875,0.75,0.73828125,0.73046875,0.76171875,0.75390625,0.80078125,0.8046875,0.80078125,0.75,0.7109375,0.796875,0.79296875,0.73046875,0.75,1.0,0.7890625,0.78515625,0.765625,0.80078125,0.76953125,0.75,0.76171875,0.73828125,0.796875,0.76953125,0.73828125,0.7265625,0.76953125
random--la512,0.73828125,0.765625,0.78125,0.70703125,0.75390625,0.76953125,0.74609375,0.77734375,0.796875,0.76953125,0.7578125,0.765625,0.8359375,0.83984375,0.77734375,0.765625,0.7890625,1.0,0.77734375,0.7578125,0.82421875,0.80859375,0.765625,0.78515625,0.80859375,0.8203125,0.78515625,0.76953125,0.7734375,0.79296875
random--la514,0.796875,0.76953125,0.77734375,0.7265625,0.765625,0.75,0.78125,0.78125,0.81640625,0.84375,0.81640625,0.73046875,0.83203125,0.734375,0.765625,0.71484375,0.78515625,0.77734375,1.0,0.79296875,0.796875,0.765625,0.79296875,0.7734375,0.796875,0.78515625,0.8125,0.7890625,0.71484375,0.765625
random--la519,0.79296875,0.734375,0.734375,0.78515625,0.79296875,0.73828125,0.73828125,0.80078125,0.828125,0.78515625,0.8203125,0.71875,0.796875,0.76953125,0.80078125,0.71875,0.765625,0.7578125,0.79296875,1.0,0.82421875,0.83203125,0.7890625,0.79296875,0.79296875,0.7734375,0.75390625,0.79296875,0.6953125,0.79296875
random--la532,0.78125,0.77734375,0.79296875,0.734375,0.7578125,0.8046875,0.8203125,0.8359375,0.81640625,0.7890625,0.81640625,0.75390625,0.84765625,0.796875,0.8203125,0.78515625,0.80078125,0.82421875,0.796875,0.82421875,1.0,0.828125,0.78515625,0.828125,0.8203125,0.81640625,0.765625,0.8046875,0.76953125,0.7734375
random--la62,0.7421875,0.73828125,0.75390625,0.71875,0.7421875,0.7578125,0.734375,0.8359375,0.79296875,0.7578125,0.78515625,0.74609375,0.83984375,0.8125,0.8046875,0.76953125,0.76953125,0.80859375,0.765625,0.83203125,0.828125,1.0,0.76953125,0.8203125,0.765625,0.83203125,0.7578125,0.7734375,0.82421875,0.7734375
random--la621,0.77734375,0.7421875,0.765625,0.75390625,0.73828125,0.76953125,0.76953125,0.74609375,0.78125,0.76953125,0.78125,0.71875,0.765625,0.76953125,0.77734375,0.7421875,0.75,0.765625,0.79296875,0.7890625,0.78515625,0.76953125,1.0,0.76953125,0.79296875,0.765625,0.74609375,0.79296875,0.703125,0.79296875
random--la630,0.734375,0.76171875,0.73828125,0.71875,0.71875,0.7734375,0.7734375,0.78125,0.77734375,0.7578125,0.73046875,0.71484375,0.82421875,0.78125,0.78125,0.70703125,0.76171875,0.78515625,0.7734375,0.79296875,0.828125,0.8203125,0.76953125,1.0,0.765625,0.79296875,0.765625,0.796875,0.74609375,0.765625
random--la655,0.8046875,0.76953125,0.77734375,0.78125,0.7890625,0.765625,0.765625,0.7578125,0.78515625,0.78125,0.80859375,0.74609375,0.77734375,0.7734375,0.7890625,0.76953125,0.73828125,0.80859375,0.796875,0.79296875,0.8203125,0.765625,0.79296875,0.765625,1.0,0.78515625,0.7265625,0.8125,0.73046875,0.8125
random--la74,0.76171875,0.7578125,0.75,0.72265625,0.75390625,0.80078125,0.74609375,0.83984375,0.8046875,0.73046875,0.7890625,0.8046875,0.8203125,0.85546875,0.76171875,0.765625,0.796875,0.8203125,0.78515625,0.7734375,0.81640625,0.83203125,0.765625,0.79296875,0.78515625,1.0,0.79296875,0.76171875,0.796875,0.77734375
random--la712,0.6953125,0.74609375,0.76953125,0.703125,0.71875,0.7265625,0.75,0.7734375,0.79296875,0.7421875,0.75390625,0.76171875,0.80078125,0.78125,0.78125,0.71484375,0.76953125,0.78515625,0.8125,0.75390625,0.765625,0.7578125,0.74609375,0.765625,0.7265625,0.79296875,1.0,0.734375,0.73046875,0.75
random--la727,0.78125,0.73828125,0.76171875,0.765625,0.7578125,0.765625,0.7734375,0.75,0.79296875,0.8046875,0.76171875,0.77734375,0.80859375,0.75,0.765625,0.70703125,0.73828125,0.76953125,0.7890625,0.79296875,0.8046875,0.7734375,0.79296875,0.796875,0.8125,0.76171875,0.734375,1.0,0.76171875,0.8125
random--la819,0.70703125,0.7109375,0.71875,0.69921875,0.70703125,0.76171875,0.72265625,0.76953125,0.7421875,0.70703125,0.7265625,0.78125,0.78125,0.77734375,0.72265625,0.7578125,0.7265625,0.7734375,0.71484375,0.6953125,0.76953125,0.82421875,0.703125,0.74609375,0.73046875,0.796875,0.73046875,0.76171875,1.0,0.76171875
random--la928,0.734375,0.72265625,0.77734375,0.7421875,0.78125,0.75,0.71875,0.75,0.77734375,0.75,0.76953125,0.77734375,0.80078125,0.765625,0.7734375,0.76953125,0.76953125,0.79296875,0.765625,0.79296875,0.7734375,0.7734375,0.79296875,0.765625,0.8125,0.77734375,0.75,0.8125,0.76171875,1.0
