test,num_obes
one-plus-o217,0
one-plus-o219,0
one-plus-o222,0
one-plus-o223,0
one-plus-o226,0
random--la13,0
random--la112,0
random--la114,0
random--la104,0
random--la107,0
random--la1010,0
random--la33,0
random--la43,0
random--la412,0
random--la430,0
random--la431,0
random--la438,1
random--la512,0
random--la514,0
random--la519,0
random--la532,0
random--la62,0
random--la621,0
random--la630,0
random--la655,0
random--la74,0
random--la712,1
random--la727,0
random--la819,0
random--la928,0
