test,num_obes
random--la14,1
random--la17,1
random--la117,1
random--la1018,0
random--la28,1
random--la210,0
random--la213,0
random--la214,0
random--la216,1
random--la220,1
random--la323,0
random--la42,1
random--la414,1
random--la56,0
random--la57,0
random--la61,1
random--la66,1
random--la619,1
random--la622,0
random--la623,0
random--la627,1
random--la72,0
random--la79,1
random--la711,0
random--la811,1
random--la813,0
random--la821,0
random--la917,0
random--la921,0
random--la922,1
