test,num_obes
random--la11,1
random--la117,1
random--la1018,0
random--la23,0
random--la24,0
random--la222,0
random--la38,1
random--la318,0
random--la415,1
random--la56,0
random--la57,0
random--la511,1
random--la63,1
random--la614,0
random--la617,1
random--la621,0
random--la622,0
random--la626,0
random--la74,0
random--la77,1
random--la79,1
random--la810,1
random--la811,1
random--la819,0
random--la820,0
random--la821,0
random--la822,0
random--la914,1
random--la921,0
random--la922,1
