test,num_states
random--la11,379
random--la117,115
random--la1018,652
random--la23,660
random--la24,467
random--la222,727
random--la38,115
random--la318,484
random--la415,275
random--la56,684
random--la57,776
random--la511,155
random--la63,511
random--la614,475
random--la617,235
random--la621,504
random--la622,619
random--la626,672
random--la74,480
random--la77,259
random--la79,348
random--la810,242
random--la811,64
random--la819,632
random--la820,704
random--la821,656
random--la822,872
random--la914,151
random--la921,740
random--la922,488
